时间,资金
10573,11067.091762284113
10574,11067.091762284113
10575,11067.091762284113
10576,11067.091762284113
10577,11067.091762284113
10578,11067.091762284113
10579,11067.091762284113
10580,11067.091762284113
10581,11067.091762284113
10582,11067.091762284113
10583,11067.091762284113
10584,11067.091762284113
10585,11067.091762284113
10586,11067.091762284113
10587,11067.091762284113
10588,11067.091762284113
10589,11067.091762284113
10590,11067.091762284113
10591,11067.091762284113
10592,11067.091762284113
10593,11067.091762284113
10594,11067.091762284113
10595,11067.091762284113
10596,11067.091762284113
10597,11067.091762284113
10598,11067.091762284113
10599,11067.091762284113
10600,11067.091762284113
10601,11067.091762284113
10602,11067.091762284113
10603,11067.091762284113
10604,11067.091762284113
10605,11067.091762284113
10606,11067.091762284113
10607,11067.091762284113
10608,11067.091762284113
10609,11067.091762284113
10610,11067.091762284113
10611,11067.091762284113
10612,11067.091762284113
10613,11067.091762284113
10614,11067.091762284113
10615,11067.091762284113
10616,11067.091762284113
10617,11067.091762284113
10618,11067.091762284113
10619,11067.091762284113
10620,11067.091762284113
10621,11067.091762284113
10622,11067.091762284113
10623,11067.091762284113
10624,11067.091762284113
10625,11067.091762284113
10626,11067.091762284113
10627,11067.091762284113
10628,11067.091762284113
10629,11067.091762284113
10630,11067.091762284113
10631,11067.091762284113
10632,11067.091762284113
10633,11067.091762284113
10634,11067.091762284113
10635,11067.091762284113
10636,11067.091762284113
10637,11067.091762284113
10638,11067.091762284113
10639,11067.091762284113
10640,11067.091762284113
10641,11067.091762284113
10642,11067.091762284113
10643,11067.091762284113
10644,11067.091762284113
10645,11067.091762284113
10646,11067.091762284113
10647,11067.091762284113
10648,11067.091762284113
10649,11067.091762284113
10650,11067.091762284113
10651,11067.091762284113
10652,11067.091762284113
10653,11067.091762284113
10654,11067.091762284113
10655,11067.091762284113
10656,11067.091762284113
10657,11067.091762284113
10658,11067.091762284113
10659,11067.091762284113
10660,11067.091762284113
10661,11067.091762284113
10662,11067.091762284113
10663,11067.091762284113
10664,11067.091762284113
10665,11067.091762284113
10666,11067.091762284113
10667,11067.091762284113
10668,11067.091762284113
10669,11067.091762284113
10670,11067.091762284113
10671,11067.091762284113
10672,11067.091762284113
10673,11292.783676023833
10674,11356.576794075036
10675,11576.3560233419
10676,11683.145147080952
10677,11684.144692864831
10678,11711.519127225718
10679,11679.666589646558
10680,11703.995775712521
10681,11658.25317703305
10682,11506.76588501045
10683,11506.76588501045
10684,11506.76588501045
10685,11506.76588501045
10686,11506.76588501045
10687,11506.76588501045
10688,11506.76588501045
10689,11506.76588501045
10690,11506.76588501045
10691,11506.76588501045
10692,11506.76588501045
10693,11506.76588501045
10694,11506.76588501045
10695,11506.76588501045
10696,11506.76588501045
10697,11506.76588501045
10698,11506.76588501045
10699,11506.76588501045
10700,11506.76588501045
10701,11506.76588501045
10702,11506.76588501045
10703,11506.76588501045
10704,11506.76588501045
10705,11506.76588501045
10706,11506.76588501045
10707,11506.76588501045
10708,11506.76588501045
10709,11509.895905005062
10710,11463.115357138746
10711,11407.802170371795
10712,11407.802170371795
10713,11407.802170371795
10714,11407.802170371795
10715,11407.802170371795
10716,11407.802170371795
10717,11407.802170371795
10718,11407.802170371795
10719,11299.50160741276
10720,11299.50160741276
10721,11299.50160741276
10722,11299.50160741276
10723,11299.50160741276
10724,11299.50160741276
10725,11299.50160741276
10726,11299.50160741276
10727,11299.50160741276
10728,11299.50160741276
10729,11299.50160741276
10730,11299.50160741276
10731,11299.50160741276
10732,11299.50160741276
10733,11299.50160741276
10734,11299.50160741276
10735,11299.50160741276
10736,11299.50160741276
10737,11299.50160741276
10738,11299.50160741276
10739,11299.50160741276
10740,11299.50160741276
10741,11299.50160741276
10742,11274.572670795744
10743,11371.08289717502
10744,11369.586641444761
10745,11321.301222149474
10746,11234.542634678875
10747,11234.542634678875
10748,11234.542634678875
10749,11234.542634678875
10750,11234.542634678875
10751,11234.542634678875
10752,11234.542634678875
10753,11234.542634678875
10754,11234.542634678875
10755,11234.542634678875
10756,11234.542634678875
10757,11234.542634678875
10758,11234.542634678875
10759,11234.542634678875
10760,11234.542634678875
10761,11234.542634678875
10762,11234.542634678875
